Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
sheep,6.0,102.0,depression,loss of appetite,swelling in muscle,blackleg
sheep,1.0,101.6,painless lumps,depression,loss of appetite,lumpy virus
goat,4.0,100.6,difficulty walking,loss of appetite,depression,blackleg
sheep,5.0,100.7,sweats,swelling in extremities,chills,anthrax
sheep,1.0,101.3,loss of appetite,depression,painless lumps,pneumonia
goat,5.0,100.2,painless lumps,loss of appetite,depression,pneumonia
sheep,10.0,101.4,painless lumps,depression,loss of appetite,lumpy virus
buffalo,2.0,103.3,loss of appetite,depression,crackling sound,blackleg
sheep,3.0,102.6,chills,shortness of breath,fatigue,anthrax
sheep,4.0,100.6,loss of appetite,lameness,blisters on mouth,foot and mouth
sheep,2.0,102.9,swelling in extremities,chest discomfort,shortness of breath,anthrax
cow,8.0,103.6,shortness of breath,chills,sweats,anthrax
goat,4.0,100.2,chest discomfort,shortness of breath,chills,anthrax
goat,7.0,102.7,sores on gums,loss of appetite,lameness,foot and mouth
cow,13.0,104.9,loss of appetite,lameness,crackling sound,blackleg
buffalo,8.0,102.4,sweats,shortness of breath,fatigue,anthrax
sheep,10.0,101.9,lameness,loss of appetite,depression,blackleg
cow,11.0,103.1,difficulty walking,loss of appetite,sores on gums,foot and mouth
sheep,5.0,104.6,lameness,blisters on tongue,loss of appetite,foot and mouth
buffalo,6.0,102.4,crackling sound,swelling in muscle,difficulty walking,blackleg
goat,1.0,103.9,crackling sound,swelling in muscle,depression,blackleg
buffalo,2.0,102.9,depression,painless lumps,loss of appetite,pneumonia
sheep,10.0,104.6,loss of appetite,depression,painless lumps,lumpy virus
goat,3.0,103.6,painless lumps,depression,loss of appetite,pneumonia
buffalo,15.0,105.0,painless lumps,loss of appetite,depression,lumpy virus
sheep,10.0,101.3,painless lumps,loss of appetite,depression,lumpy virus
goat,3.0,103.1,lameness,blisters on gums,loss of appetite,foot and mouth
cow,15.0,105.0,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
buffalo,7.0,100.9,depression,painless lumps,loss of appetite,lumpy virus
goat,6.0,104.2,sores on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,3.0,102.2,sweats,shortness of breath,swelling in neck,anthrax
sheep,5.0,101.4,loss of appetite,painless lumps,depression,lumpy virus
buffalo,14.0,104.0,blisters on gums,loss of appetite,lameness,foot and mouth
buffalo,11.0,102.4,loss of appetite,depression,painless lumps,lumpy virus
cow,13.0,100.8,difficulty walking,swelling in muscle,depression,blackleg
sheep,2.0,100.7,chest discomfort,sweats,chills,anthrax
cow,11.0,101.5,lameness,depression,loss of appetite,blackleg
buffalo,8.0,104.9,chills,chest discomfort,shortness of breath,anthrax
cow,11.0,104.2,depression,painless lumps,loss of appetite,lumpy virus
cow,9.0,101.0,painless lumps,depression,loss of appetite,pneumonia
sheep,5.0,102.9,loss of appetite,painless lumps,depression,lumpy virus
sheep,4.0,101.5,loss of appetite,sores on gums,difficulty walking,foot and mouth
goat,1.0,102.6,swelling in muscle,difficulty walking,depression,blackleg
goat,1.0,101.1,difficulty walking,loss of appetite,sores on mouth,foot and mouth
buffalo,13.0,105.0,painless lumps,loss of appetite,depression,pneumonia
buffalo,14.0,102.0,lameness,swelling in limb,crackling sound,blackleg
sheep,1.0,101.7,sweats,shortness of breath,fatigue,anthrax
buffalo,6.0,101.7,fatigue,sweats,swelling in abdomen,anthrax
cow,6.0,100.0,loss of appetite,lameness,crackling sound,blackleg
goat,9.0,102.8,loss of appetite,painless lumps,depression,pneumonia
goat,3.0,104.7,shortness of breath,chest discomfort,sweats,anthrax
cow,4.0,100.2,loss of appetite,depression,painless lumps,lumpy virus
buffalo,5.0,102.2,crackling sound,loss of appetite,depression,blackleg
sheep,6.0,101.3,blisters on mouth,loss of appetite,lameness,foot and mouth
sheep,3.0,103.1,crackling sound,lameness,depression,blackleg
sheep,9.0,102.1,painless lumps,loss of appetite,depression,lumpy virus
goat,8.0,100.3,sores on hooves,loss of appetite,lameness,foot and mouth
sheep,4.0,102.8,painless lumps,loss of appetite,depression,pneumonia
buffalo,11.0,104.5,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,4.0,102.1,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
cow,13.0,102.6,shortness of breath,sweats,fatigue,anthrax
buffalo,3.0,103.2,loss of appetite,depression,painless lumps,pneumonia
buffalo,5.0,100.8,depression,swelling in limb,loss of appetite,blackleg
buffalo,12.0,102.3,painless lumps,depression,loss of appetite,lumpy virus
cow,7.0,102.4,sweats,fatigue,shortness of breath,anthrax
goat,5.0,101.6,lameness,blisters on gums,loss of appetite,foot and mouth
cow,7.0,101.3,loss of appetite,painless lumps,depression,pneumonia
sheep,3.0,101.5,loss of appetite,painless lumps,depression,pneumonia
cow,5.0,101.9,swelling in muscle,loss of appetite,crackling sound,blackleg
sheep,5.0,102.5,loss of appetite,sores on mouth,difficulty walking,foot and mouth
cow,12.0,100.1,depression,loss of appetite,painless lumps,pneumonia
cow,9.0,103.3,sweats,swelling in abdomen,fatigue,anthrax
buffalo,6.0,102.0,sweats,chest discomfort,swelling in extremities,anthrax
cow,7.0,103.4,loss of appetite,crackling sound,swelling in muscle,blackleg
goat,3.0,104.6,loss of appetite,depression,painless lumps,lumpy virus
goat,1.0,103.2,painless lumps,depression,loss of appetite,pneumonia
cow,3.0,103.9,blisters on mouth,lameness,loss of appetite,foot and mouth
goat,9.0,101.7,chills,sweats,shortness of breath,anthrax
goat,9.0,101.1,chest discomfort,chills,sweats,anthrax
cow,5.0,102.7,difficulty walking,sores on gums,loss of appetite,foot and mouth
buffalo,6.0,103.2,fatigue,swelling in abdomen,chest discomfort,anthrax
goat,3.0,102.1,painless lumps,depression,loss of appetite,pneumonia
sheep,4.0,102.3,loss of appetite,depression,painless lumps,lumpy virus
buffalo,4.0,100.4,loss of appetite,depression,painless lumps,pneumonia
buffalo,4.0,102.2,depression,loss of appetite,painless lumps,pneumonia
sheep,6.0,103.0,loss of appetite,swelling in limb,lameness,blackleg
sheep,6.0,102.7,crackling sound,difficulty walking,swelling in limb,blackleg
goat,8.0,101.7,swelling in neck,chest discomfort,shortness of breath,anthrax
goat,9.0,101.1,swelling in abdomen,chills,fatigue,anthrax
sheep,5.0,100.0,depression,loss of appetite,painless lumps,lumpy virus
sheep,3.0,102.3,difficulty walking,swelling in muscle,depression,blackleg
sheep,5.0,103.6,painless lumps,depression,loss of appetite,pneumonia
goat,9.0,101.1,painless lumps,depression,loss of appetite,lumpy virus
sheep,10.0,102.3,depression,loss of appetite,painless lumps,lumpy virus
cow,2.0,101.2,swelling in abdomen,chest discomfort,sweats,anthrax
buffalo,4.0,104.3,depression,loss of appetite,painless lumps,lumpy virus
sheep,3.0,101.5,difficulty walking,depression,loss of appetite,blackleg
goat,5.0,104.2,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,8.0,101.2,swelling in abdomen,chills,shortness of breath,anthrax
buffalo,11.0,103.5,chills,swelling in neck,chest discomfort,anthrax
goat,10.0,101.7,depression,painless lumps,loss of appetite,pneumonia
goat,2.0,103.0,loss of appetite,painless lumps,depression,lumpy virus
buffalo,12.0,102.8,fatigue,chest discomfort,swelling in extremities,anthrax
goat,2.0,100.9,swelling in limb,crackling sound,loss of appetite,blackleg
goat,7.0,102.0,fatigue,chills,sweats,anthrax
goat,10.0,104.0,painless lumps,loss of appetite,depression,lumpy virus
cow,1.0,101.2,chills,swelling in extremities,shortness of breath,anthrax
cow,5.0,101.3,chest discomfort,sweats,shortness of breath,anthrax
buffalo,1.0,101.3,swelling in limb,loss of appetite,crackling sound,blackleg
goat,7.0,103.7,loss of appetite,crackling sound,swelling in muscle,blackleg
cow,13.0,101.5,crackling sound,swelling in muscle,depression,blackleg
goat,3.0,104.2,depression,loss of appetite,crackling sound,blackleg
buffalo,8.0,101.8,difficulty walking,swelling in muscle,depression,blackleg
goat,2.0,103.0,chills,shortness of breath,fatigue,anthrax
buffalo,6.0,103.0,loss of appetite,swelling in muscle,lameness,blackleg
sheep,10.0,104.1,loss of appetite,depression,painless lumps,lumpy virus
cow,3.0,101.1,crackling sound,depression,swelling in muscle,blackleg
sheep,2.0,102.1,sweats,swelling in abdomen,fatigue,anthrax
goat,6.0,100.7,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,12.0,101.3,painless lumps,depression,loss of appetite,pneumonia
cow,3.0,102.5,swelling in abdomen,fatigue,chills,anthrax
goat,5.0,102.1,loss of appetite,sores on hooves,difficulty walking,foot and mouth
cow,1.0,100.6,lameness,loss of appetite,blisters on hooves,foot and mouth
goat,4.0,103.1,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,13.0,101.7,shortness of breath,fatigue,chills,anthrax
cow,14.0,104.2,swelling in neck,shortness of breath,fatigue,anthrax
goat,3.0,101.3,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,6.0,102.3,depression,painless lumps,loss of appetite,pneumonia
goat,7.0,104.0,sweats,swelling in neck,fatigue,anthrax
sheep,4.0,100.3,swelling in abdomen,chills,shortness of breath,anthrax
goat,5.0,102.3,depression,crackling sound,lameness,blackleg
cow,11.0,100.5,painless lumps,loss of appetite,depression,pneumonia
buffalo,8.0,104.6,shortness of breath,sweats,fatigue,anthrax
cow,3.0,101.3,loss of appetite,depression,painless lumps,pneumonia
buffalo,12.0,101.5,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,1.0,100.8,painless lumps,loss of appetite,depression,pneumonia
goat,10.0,100.2,fatigue,chest discomfort,sweats,anthrax
goat,9.0,104.0,loss of appetite,depression,painless lumps,pneumonia
sheep,8.0,101.0,crackling sound,loss of appetite,depression,blackleg
sheep,10.0,101.9,swelling in neck,chest discomfort,shortness of breath,anthrax
goat,2.0,100.7,loss of appetite,painless lumps,depression,lumpy virus
buffalo,7.0,100.9,loss of appetite,difficulty walking,sores on mouth,foot and mouth
sheep,8.0,100.2,chills,fatigue,sweats,anthrax
cow,5.0,100.9,loss of appetite,depression,painless lumps,pneumonia
cow,4.0,102.2,crackling sound,difficulty walking,swelling in limb,blackleg
buffalo,6.0,103.7,difficulty walking,loss of appetite,depression,blackleg
sheep,5.0,102.8,depression,loss of appetite,painless lumps,pneumonia
buffalo,4.0,100.8,fatigue,swelling in neck,chills,anthrax
goat,1.0,101.3,swelling in extremities,fatigue,shortness of breath,anthrax
sheep,7.0,103.5,chills,shortness of breath,chest discomfort,anthrax
buffalo,15.0,103.4,depression,loss of appetite,painless lumps,pneumonia
cow,4.0,103.8,painless lumps,depression,loss of appetite,pneumonia
buffalo,7.0,100.6,painless lumps,depression,loss of appetite,lumpy virus
goat,1.0,101.3,sores on mouth,loss of appetite,lameness,foot and mouth
sheep,7.0,102.2,crackling sound,depression,swelling in limb,blackleg
buffalo,3.0,101.2,lameness,sores on tongue,loss of appetite,foot and mouth
sheep,10.0,103.4,difficulty walking,loss of appetite,sores on hooves,foot and mouth
sheep,9.0,102.7,loss of appetite,depression,painless lumps,pneumonia
cow,13.0,102.7,loss of appetite,blisters on gums,difficulty walking,foot and mouth
goat,5.0,100.5,depression,painless lumps,loss of appetite,pneumonia
goat,3.0,101.5,painless lumps,loss of appetite,depression,lumpy virus
sheep,1.0,101.0,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,3.0,100.6,blisters on gums,loss of appetite,difficulty walking,foot and mouth
goat,9.0,100.4,swelling in muscle,depression,lameness,blackleg
buffalo,4.0,102.6,depression,painless lumps,loss of appetite,pneumonia
buffalo,8.0,102.5,sweats,chest discomfort,swelling in neck,anthrax
sheep,5.0,105.0,loss of appetite,depression,painless lumps,lumpy virus
cow,6.0,101.2,painless lumps,loss of appetite,depression,pneumonia
goat,2.0,102.8,chest discomfort,sweats,shortness of breath,anthrax
buffalo,11.0,104.5,blisters on tongue,lameness,loss of appetite,foot and mouth
buffalo,1.0,101.2,sweats,swelling in extremities,chest discomfort,anthrax
sheep,8.0,100.3,depression,loss of appetite,painless lumps,pneumonia
sheep,2.0,104.5,depression,loss of appetite,painless lumps,pneumonia
cow,8.0,100.9,depression,painless lumps,loss of appetite,pneumonia
buffalo,5.0,103.8,painless lumps,depression,loss of appetite,lumpy virus
buffalo,6.0,102.7,loss of appetite,blisters on gums,lameness,foot and mouth
buffalo,1.0,104.6,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,6.0,102.5,loss of appetite,lameness,sores on gums,foot and mouth
cow,13.0,100.8,swelling in muscle,lameness,crackling sound,blackleg
buffalo,7.0,101.6,depression,painless lumps,loss of appetite,pneumonia
sheep,5.0,101.0,loss of appetite,lameness,blisters on hooves,foot and mouth
goat,4.0,103.9,sweats,chest discomfort,chills,anthrax
sheep,10.0,100.2,painless lumps,depression,loss of appetite,pneumonia
cow,8.0,103.5,loss of appetite,painless lumps,depression,lumpy virus
buffalo,4.0,101.9,depression,loss of appetite,difficulty walking,blackleg
sheep,2.0,102.6,painless lumps,loss of appetite,depression,lumpy virus
goat,7.0,103.9,chest discomfort,sweats,fatigue,anthrax
cow,8.0,101.6,painless lumps,depression,loss of appetite,lumpy virus
cow,4.0,103.8,painless lumps,loss of appetite,depression,lumpy virus
sheep,5.0,101.8,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,1.0,103.8,chest discomfort,chills,shortness of breath,anthrax
buffalo,8.0,101.1,difficulty walking,swelling in limb,loss of appetite,blackleg
cow,8.0,103.9,lameness,crackling sound,swelling in muscle,blackleg
buffalo,6.0,101.3,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
cow,12.0,103.7,loss of appetite,painless lumps,depression,lumpy virus
sheep,10.0,100.0,painless lumps,depression,loss of appetite,lumpy virus
buffalo,8.0,104.2,lameness,loss of appetite,blisters on mouth,foot and mouth
buffalo,4.0,104.4,lameness,sores on mouth,loss of appetite,foot and mouth
goat,5.0,102.4,chills,chest discomfort,sweats,anthrax
cow,3.0,101.2,blisters on mouth,loss of appetite,lameness,foot and mouth
cow,10.0,102.2,loss of appetite,lameness,sores on gums,foot and mouth
cow,9.0,102.4,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
sheep,10.0,101.6,loss of appetite,painless lumps,depression,pneumonia
cow,5.0,101.3,blisters on gums,difficulty walking,loss of appetite,foot and mouth
goat,2.0,101.9,depression,crackling sound,loss of appetite,blackleg
sheep,1.0,103.8,swelling in limb,loss of appetite,crackling sound,blackleg
buffalo,7.0,104.1,crackling sound,lameness,swelling in limb,blackleg
goat,2.0,101.5,shortness of breath,sweats,swelling in extremities,anthrax
sheep,7.0,104.6,depression,swelling in limb,crackling sound,blackleg
buffalo,13.0,101.3,crackling sound,swelling in limb,loss of appetite,blackleg
cow,6.0,103.7,painless lumps,depression,loss of appetite,lumpy virus
sheep,7.0,104.6,fatigue,shortness of breath,sweats,anthrax
sheep,6.0,104.2,depression,crackling sound,swelling in muscle,blackleg
goat,2.0,104.1,painless lumps,depression,loss of appetite,pneumonia
cow,8.0,102.8,swelling in limb,difficulty walking,loss of appetite,blackleg
buffalo,8.0,100.2,shortness of breath,chills,chest discomfort,anthrax
sheep,8.0,100.3,depression,loss of appetite,painless lumps,lumpy virus
sheep,3.0,103.7,difficulty walking,loss of appetite,sores on mouth,foot and mouth
buffalo,6.0,100.8,difficulty walking,swelling in limb,depression,blackleg
sheep,8.0,104.0,depression,loss of appetite,painless lumps,pneumonia
sheep,10.0,103.9,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,6.0,103.3,fatigue,chest discomfort,sweats,anthrax
buffalo,7.0,102.4,loss of appetite,depression,painless lumps,lumpy virus
sheep,10.0,103.1,chest discomfort,swelling in extremities,shortness of breath,anthrax
buffalo,4.0,104.4,lameness,loss of appetite,sores on mouth,foot and mouth
sheep,8.0,103.9,depression,swelling in muscle,lameness,blackleg
sheep,4.0,102.4,loss of appetite,crackling sound,depression,blackleg
goat,4.0,101.1,depression,loss of appetite,painless lumps,pneumonia
sheep,10.0,101.4,loss of appetite,swelling in muscle,crackling sound,blackleg
cow,5.0,100.7,depression,crackling sound,swelling in muscle,blackleg
goat,3.0,101.0,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,1.0,101.0,chills,shortness of breath,sweats,anthrax
cow,12.0,104.4,fatigue,chest discomfort,chills,anthrax
buffalo,2.0,102.4,depression,loss of appetite,painless lumps,lumpy virus
buffalo,1.0,101.0,chest discomfort,sweats,shortness of breath,anthrax
sheep,7.0,100.9,difficulty walking,crackling sound,loss of appetite,blackleg
sheep,7.0,103.6,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,10.0,103.6,sweats,fatigue,chest discomfort,anthrax
sheep,9.0,100.5,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
sheep,6.0,102.7,depression,painless lumps,loss of appetite,lumpy virus
goat,4.0,103.1,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
cow,15.0,100.0,loss of appetite,painless lumps,depression,lumpy virus
buffalo,11.0,103.5,swelling in neck,chest discomfort,shortness of breath,anthrax
sheep,6.0,102.7,painless lumps,loss of appetite,depression,pneumonia
sheep,10.0,100.6,swelling in abdomen,shortness of breath,sweats,anthrax
sheep,10.0,102.0,swelling in muscle,depression,crackling sound,blackleg
sheep,4.0,101.5,painless lumps,loss of appetite,depression,pneumonia
buffalo,13.0,104.7,depression,loss of appetite,painless lumps,pneumonia
goat,3.0,102.1,swelling in muscle,crackling sound,difficulty walking,blackleg
cow,2.0,101.0,chest discomfort,swelling in neck,fatigue,anthrax
goat,1.0,102.5,blisters on tongue,lameness,loss of appetite,foot and mouth
goat,4.0,101.8,swelling in muscle,loss of appetite,crackling sound,blackleg
cow,10.0,103.7,painless lumps,depression,loss of appetite,lumpy virus
goat,3.0,103.2,chest discomfort,swelling in extremities,fatigue,anthrax
goat,10.0,104.7,sores on gums,difficulty walking,loss of appetite,foot and mouth
sheep,9.0,100.8,chills,shortness of breath,swelling in extremities,anthrax
buffalo,13.0,102.5,loss of appetite,difficulty walking,sores on gums,foot and mouth
cow,2.0,100.5,loss of appetite,depression,painless lumps,lumpy virus
goat,3.0,100.4,crackling sound,swelling in muscle,loss of appetite,blackleg
goat,6.0,101.6,loss of appetite,painless lumps,depression,lumpy virus
sheep,2.0,101.9,sweats,chest discomfort,fatigue,anthrax
buffalo,15.0,101.1,swelling in limb,depression,crackling sound,blackleg
cow,8.0,104.2,painless lumps,loss of appetite,depression,lumpy virus
sheep,3.0,104.2,loss of appetite,sores on hooves,difficulty walking,foot and mouth
sheep,10.0,103.4,depression,swelling in muscle,lameness,blackleg
cow,14.0,100.2,swelling in limb,loss of appetite,difficulty walking,blackleg
buffalo,15.0,102.4,shortness of breath,chest discomfort,chills,anthrax
cow,2.0,100.1,sweats,fatigue,swelling in extremities,anthrax
sheep,10.0,102.1,painless lumps,depression,loss of appetite,lumpy virus
cow,7.0,100.3,loss of appetite,painless lumps,depression,lumpy virus
sheep,9.0,101.2,chills,shortness of breath,swelling in extremities,anthrax
cow,4.0,103.1,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
goat,10.0,101.1,depression,loss of appetite,painless lumps,pneumonia
buffalo,5.0,101.3,loss of appetite,depression,painless lumps,lumpy virus
buffalo,9.0,100.3,chest discomfort,sweats,fatigue,anthrax
buffalo,3.0,101.4,loss of appetite,painless lumps,depression,lumpy virus
goat,4.0,102.5,depression,loss of appetite,painless lumps,lumpy virus
goat,1.0,103.2,lameness,sores on mouth,loss of appetite,foot and mouth
goat,4.0,100.2,depression,lameness,swelling in muscle,blackleg
buffalo,13.0,100.0,blisters on mouth,lameness,loss of appetite,foot and mouth
goat,4.0,102.2,loss of appetite,crackling sound,swelling in limb,blackleg
goat,6.0,100.6,painless lumps,loss of appetite,depression,pneumonia
cow,3.0,102.8,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
goat,2.0,100.6,loss of appetite,depression,painless lumps,lumpy virus
cow,1.0,100.2,depression,painless lumps,loss of appetite,lumpy virus
cow,12.0,101.6,painless lumps,depression,loss of appetite,pneumonia
buffalo,8.0,102.8,lameness,loss of appetite,sores on gums,foot and mouth
cow,8.0,103.5,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,14.0,102.9,swelling in abdomen,chest discomfort,fatigue,anthrax
sheep,9.0,102.8,loss of appetite,swelling in limb,depression,blackleg
cow,1.0,101.7,chest discomfort,sweats,swelling in extremities,anthrax
sheep,4.0,102.6,crackling sound,loss of appetite,swelling in muscle,blackleg
sheep,5.0,102.0,depression,loss of appetite,painless lumps,lumpy virus
sheep,7.0,103.0,loss of appetite,depression,painless lumps,pneumonia
sheep,10.0,103.1,painless lumps,loss of appetite,depression,pneumonia
sheep,2.0,102.7,difficulty walking,sores on tongue,loss of appetite,foot and mouth
goat,4.0,102.0,loss of appetite,blisters on tongue,lameness,foot and mouth
sheep,4.0,101.9,swelling in abdomen,sweats,shortness of breath,anthrax
goat,6.0,101.7,painless lumps,loss of appetite,depression,lumpy virus
sheep,9.0,101.7,shortness of breath,fatigue,swelling in extremities,anthrax
buffalo,3.0,103.3,crackling sound,depression,loss of appetite,blackleg
goat,6.0,104.2,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
cow,2.0,100.9,loss of appetite,depression,painless lumps,lumpy virus
sheep,6.0,102.8,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
buffalo,8.0,103.6,loss of appetite,difficulty walking,blisters on gums,foot and mouth
cow,4.0,102.0,crackling sound,loss of appetite,depression,blackleg
cow,1.0,100.6,chest discomfort,shortness of breath,chills,anthrax
buffalo,7.0,102.7,blisters on gums,loss of appetite,lameness,foot and mouth
goat,8.0,101.2,painless lumps,loss of appetite,depression,lumpy virus
cow,5.0,103.5,swelling in extremities,sweats,chills,anthrax
buffalo,9.0,103.6,chills,chest discomfort,sweats,anthrax
sheep,5.0,100.8,blisters on gums,difficulty walking,loss of appetite,foot and mouth
goat,4.0,103.2,depression,loss of appetite,painless lumps,pneumonia
cow,6.0,100.7,fatigue,sweats,chills,anthrax
goat,8.0,101.2,painless lumps,depression,loss of appetite,lumpy virus
sheep,8.0,100.2,depression,painless lumps,loss of appetite,lumpy virus
goat,2.0,100.2,sweats,chills,swelling in extremities,anthrax
cow,3.0,104.1,lameness,depression,swelling in muscle,blackleg
goat,4.0,102.0,depression,painless lumps,loss of appetite,pneumonia
sheep,2.0,100.4,chest discomfort,chills,swelling in neck,anthrax
sheep,4.0,101.3,chills,sweats,shortness of breath,anthrax
sheep,8.0,101.2,swelling in limb,difficulty walking,loss of appetite,blackleg
cow,2.0,101.3,loss of appetite,lameness,sores on hooves,foot and mouth
buffalo,6.0,104.0,loss of appetite,depression,painless lumps,lumpy virus
goat,1.0,100.4,loss of appetite,sores on tongue,lameness,foot and mouth
cow,11.0,103.7,painless lumps,depression,loss of appetite,lumpy virus
sheep,2.0,104.0,depression,crackling sound,loss of appetite,blackleg
goat,3.0,101.0,difficulty walking,loss of appetite,sores on tongue,foot and mouth
sheep,5.0,102.9,swelling in neck,chills,chest discomfort,anthrax
sheep,7.0,102.1,chest discomfort,fatigue,swelling in neck,anthrax
sheep,3.0,101.7,depression,loss of appetite,painless lumps,pneumonia
sheep,10.0,104.5,crackling sound,loss of appetite,swelling in limb,blackleg
sheep,5.0,103.0,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
cow,11.0,104.0,depression,swelling in limb,loss of appetite,blackleg
cow,13.0,103.0,painless lumps,loss of appetite,depression,lumpy virus
buffalo,2.0,103.3,depression,loss of appetite,swelling in limb,blackleg
goat,6.0,101.1,difficulty walking,sores on tongue,loss of appetite,foot and mouth
sheep,10.0,101.7,depression,loss of appetite,crackling sound,blackleg
goat,10.0,101.9,loss of appetite,depression,painless lumps,lumpy virus
sheep,8.0,103.2,loss of appetite,difficulty walking,swelling in muscle,blackleg
goat,3.0,100.5,loss of appetite,painless lumps,depression,pneumonia
goat,7.0,100.4,loss of appetite,painless lumps,depression,pneumonia
cow,11.0,102.3,swelling in extremities,sweats,fatigue,anthrax
sheep,3.0,102.0,chills,swelling in extremities,sweats,anthrax
goat,4.0,103.0,loss of appetite,crackling sound,swelling in limb,blackleg
sheep,3.0,103.8,loss of appetite,depression,painless lumps,lumpy virus
cow,12.0,101.9,fatigue,chest discomfort,swelling in extremities,anthrax
goat,5.0,100.7,loss of appetite,lameness,blisters on gums,foot and mouth
goat,4.0,102.3,difficulty walking,depression,crackling sound,blackleg
cow,1.0,102.9,depression,difficulty walking,swelling in muscle,blackleg
goat,7.0,104.3,difficulty walking,swelling in limb,depression,blackleg
sheep,3.0,104.4,depression,painless lumps,loss of appetite,lumpy virus
cow,12.0,104.0,swelling in limb,difficulty walking,crackling sound,blackleg
buffalo,6.0,102.0,crackling sound,loss of appetite,depression,blackleg
sheep,5.0,104.6,chills,swelling in extremities,fatigue,anthrax
sheep,4.0,100.0,fatigue,chills,sweats,anthrax
buffalo,2.0,102.2,loss of appetite,painless lumps,depression,lumpy virus
goat,1.0,101.1,painless lumps,depression,loss of appetite,pneumonia
goat,4.0,104.1,loss of appetite,painless lumps,depression,pneumonia
sheep,2.0,100.1,painless lumps,depression,loss of appetite,pneumonia
goat,2.0,101.6,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
sheep,10.0,100.7,sweats,shortness of breath,chest discomfort,anthrax
goat,2.0,102.3,sweats,chills,swelling in extremities,anthrax
goat,3.0,104.9,chest discomfort,shortness of breath,chills,anthrax
buffalo,6.0,101.7,difficulty walking,loss of appetite,swelling in muscle,blackleg
buffalo,6.0,101.9,crackling sound,loss of appetite,depression,blackleg
cow,6.0,104.5,loss of appetite,depression,painless lumps,lumpy virus
sheep,6.0,104.0,depression,painless lumps,loss of appetite,pneumonia
buffalo,10.0,102.9,swelling in muscle,depression,difficulty walking,blackleg
sheep,2.0,100.3,swelling in limb,loss of appetite,depression,blackleg
goat,6.0,104.9,sores on hooves,difficulty walking,loss of appetite,foot and mouth
cow,5.0,101.3,chills,swelling in neck,sweats,anthrax
goat,4.0,101.5,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
sheep,1.0,100.8,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
cow,2.0,101.9,swelling in muscle,depression,lameness,blackleg
goat,7.0,101.1,painless lumps,loss of appetite,depression,pneumonia
cow,3.0,102.0,fatigue,chills,shortness of breath,anthrax
goat,5.0,101.1,depression,loss of appetite,painless lumps,lumpy virus
goat,10.0,102.7,sores on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,1.0,103.9,loss of appetite,swelling in limb,crackling sound,blackleg
cow,5.0,101.1,loss of appetite,crackling sound,swelling in muscle,blackleg
buffalo,9.0,100.8,chills,shortness of breath,swelling in neck,anthrax
buffalo,8.0,104.1,painless lumps,loss of appetite,depression,pneumonia
cow,1.0,101.6,loss of appetite,depression,painless lumps,pneumonia
buffalo,12.0,100.7,loss of appetite,depression,swelling in limb,blackleg
cow,4.0,103.0,loss of appetite,depression,lameness,blackleg
sheep,2.0,103.8,chest discomfort,sweats,fatigue,anthrax
sheep,1.0,103.2,crackling sound,loss of appetite,swelling in muscle,blackleg
sheep,1.0,100.5,sores on tongue,lameness,loss of appetite,foot and mouth
goat,9.0,104.1,chest discomfort,swelling in abdomen,shortness of breath,anthrax
cow,10.0,104.6,painless lumps,loss of appetite,depression,pneumonia
cow,10.0,102.6,sweats,chest discomfort,fatigue,anthrax
goat,7.0,100.4,loss of appetite,difficulty walking,sores on gums,foot and mouth
buffalo,15.0,100.7,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,7.0,103.5,depression,painless lumps,loss of appetite,pneumonia
sheep,3.0,102.3,shortness of breath,chest discomfort,chills,anthrax
cow,14.0,101.1,loss of appetite,depression,painless lumps,lumpy virus
